,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error
38,6/19/2022,0.293802083,0.282604167,0.290961805,0.268048611,0.299805556,0.331777778,0.278513889,0.302069444,0.257878472,0.284177083,23.30552083,60.82145833,0.000211832,0.000219389,0.000155148,8.49E-05,0.000106635,0.000119256,0.000192761,8.76E-05,0.000123121,0.000136615,0.548795888,1.862162962,-0.004090278,0.019465278,-0.024725694,0.001572917,0.000192761,8.7598E-05,0.000123121,0.000136615
39,6/20/2022,0.291333333,0.280197917,0.288763889,0.263871528,0.29853125,0.328413194,0.275256944,0.297552083,0.256208333,0.279774306,21.22260417,57.12229167,0.000331023,0.000349693,0.000239747,0.000189475,0.000161964,0.000181688,0.000301615,0.000156318,0.000146453,0.000162108,0.944084099,3.034813549,-0.004940972,0.017354167,-0.023989583,-0.000423611,0.000301615,0.000156318,0.000146453,0.000162108
40,6/21/2022,0.288739583,0.2756875,0.285454861,0.258597222,0.296184028,0.323788194,0.270607639,0.291333333,0.253579861,0.275961806,18.99154167,53.28135417,0.000265008,0.000325223,0.000245034,0.000128239,0.000155305,0.000199666,0.000289476,0.000186274,0.000177378,0.00017625,0.934920271,2.53031709,-0.005079861,0.015645833,-0.022107639,0.000274306,0.000289476,0.000186274,0.000177378,0.00017625
41,6/22/2022,0.28559375,0.271052083,0.281996528,0.255975694,0.294545139,0.320006944,0.265854167,0.28946875,0.251913194,0.270434028,16.99229167,73.05927083,0.000285074,0.000269164,0.000190637,0.000129123,0.00016019,0.000161693,0.000228608,0.000253464,0.000193098,0.000223395,0.938390265,2.35143466,-0.005197917,0.018416667,-0.019138889,-0.000618056,0.000228608,0.000253464,0.000193098,0.000223395
42,6/23/2022,0.284229167,0.270197917,0.2799375,0.255607639,0.2943125,0.31784375,0.26428125,0.290177083,0.251628472,0.268944445,21.1478125,59.55739583,0.000406763,0.000445893,0.000259109,0.000142297,0.000172402,0.000189962,0.000389442,0.000339237,0.000211042,0.000297105,1.105518664,3.138059369,-0.005916667,0.019979167,-0.018569444,-0.001253472,0.000389442,0.000339237,0.000211042,0.000297105
43,6/24/2022,0.28478125,0.273729167,0.281677083,0.262298611,0.295027778,0.319489583,0.266996528,0.292368055,0.252017361,0.274586806,19.0290625,74.2453125,0.000259978,0.000707646,0.000232761,0.00126636,0.000152997,0.000270096,0.000460594,0.000357613,0.000169807,0.001033583,0.886632478,2.610096535,-0.006732639,0.018638889,-0.021711806,0.000857639,0.000460594,0.000357613,0.000169807,0.001033583
44,6/25/2022,0.283479167,0.276552083,0.281427083,0.279020833,0.294229167,0.320982639,0.268083333,0.295642361,0.250836806,0.286454861,16.79290625,76.96729167,0.000246012,0.000213508,0.000150106,0.000161756,0.000105098,0.000112712,0.000200085,8.40E-05,0.000106215,0.000186151,0.558708426,1.900362999,-0.00846875,0.019090278,-0.025715278,0.009902778,0.000200085,8.39516E-05,0.000106215,0.000186151
45,6/26/2022,0.283354167,0.274614583,0.281097222,0.273888889,0.292892361,0.319920139,0.267034722,0.293548611,0.24953125,0.28184375,16.20791667,75.05458333,0.000134897,0.000133582,8.53E-05,0.000122182,9.19E-05,8.26E-05,0.000106614,0.000180829,0.000107648,0.000130876,0.316850209,1.465048169,-0.007579861,0.018934028,-0.025083333,0.007229167,0.000106614,0.000180829,0.000107648,0.000130876
46,6/27/2022,0.283354167,0.272375,0.278909722,0.270152778,0.291940972,0.316822917,0.264732639,0.292229167,0.248559028,0.278340278,19.36345833,65.99791667,0.000448188,0.000455774,0.000262015,0.000127668,0.000163045,0.00016913,0.000414104,0.000272939,0.000207116,0.000275811,0.963983182,2.87665176,-0.007642361,0.019854167,-0.023815972,0.005965278,0.000414104,0.000272939,0.000207116,0.000275811
47,6/28/2022,0.285791667,0.27246875,0.279538194,0.267079861,0.293125,0.316322917,0.265166667,0.292135417,0.249690972,0.276333333,20.49498958,66.81791667,0.000384433,0.000456424,0.000268713,0.000138104,0.000209906,0.000197909,0.000386606,0.000228489,0.000228524,0.000267697,1.114543645,2.978661553,-0.007302083,0.019666667,-0.022777778,0.003864583,0.000386606,0.000228489,0.000228524,0.000267697
